prn,toe,toc,a0,a1,a2,sqrt_a,e,i0,omega0,omegadot,m0,w,delta_n,idot,c_uc,c_us,c_rc,c_rs,c_ic,c_is,tgd,health,week,fit_interval
5,266384.0,262458.0,-0.000171906780451,-1.36424205266e-12,0.0,5153.61497498,0.00582363491412,0.97142906424,-2.88703523498,-7.55567186692e-09,2.12649494048,1.24312237962,4.07374111624e-09,4.75019786481e-10,-2.38418579102e-06,1.22711062431e-05,150.21875,-45.21875,2.98023223877e-08,-1.58324837685e-07,-1.07102096081e-08,0.0,2313,4
5,273600.0,266418.0,-0.000171916559339,-1.36424205266e-12,0.0,5153.61100197,0.00582547427621,0.971432565003,-2.88708961604,-7.53709966474e-09,-3.10395993449,1.24294071592,4.08195574413e-09,4.96806408267e-10,-3.33786010742e-06,1.23046338558e-05,148.21875,-60.375,1.210719347e-07,-8.94069671631e-08,-1.07102096081e-08,0.0,2313,4
5,280800.0,273618.0,-0.000171926803887,-1.36424205266e-12,0.0,5153.61371612,0.00582426041365,0.971436675803,-2.88714439939,-7.5210275667e-09,-2.05360651156,1.24280231655,3.91016287398e-09,6.0859677907e-10,-3.38442623615e-06,1.23493373394e-05,138.90625,-65.65625,7.45058059692e-08,5.21540641785e-08,-1.07102096081e-08,0.0,2313,4
5,288000.0,280818.0,-0.000171936582774,-1.36424205266e-12,0.0,5153.61155701,0.00582428183407,0.971440396003,-2.88719875558,-7.65139013968e-09,-1.00359026637,1.24299985292,3.90980571625e-09,5.84667210879e-10,-2.87033617497e-06,1.30366533995e-05,132.46875,-60.25,-3.72529029846e-08,1.37835741043e-07,-1.07102096081e-08,0.0,2313,4
5,295200.0,288018.0,-0.000171946361661,-1.36424205266e-12,0.0,5153.61379051,0.00582522060722,0.971444556542,-2.88725368523,-7.63674667258e-09,0.0467519242739,1.2428707226,3.81730186309e-09,5.33950812623e-10,-2.64123082161e-06,1.29453837872e-05,136.375,-51.9375,-1.63912773132e-07,9.87201929092e-08,-1.07102096081e-08,0.0,2313,4
5,302400.0,296328.0,-0.000171956606209,-1.36424205266e-12,0.0,5153.61173058,0.00582412828226,0.97144754821,-2.88730787464,-7.67496255014e-09,1.09701953975,1.24281648637,3.9198061328e-09,3.52157525917e-10,-2.76416540146e-06,1.26510858536e-05,145.5625,-52.53125,-5.21540641785e-08,-1.06170773506e-07,-1.07102096081e-08,0.0,2313,4
5,309600.0,302418.0,-0.000171966385096,-1.36424205266e-12,0.0,5153.61600113,0.00582424143795,0.971450651059,-2.88736291254,-7.55067165864e-09,2.14684146406,1.24320717767,3.82123059816e-09,3.57157734196e-10,-3.41050326824e-06,1.18911266327e-05,157.6875,-63.9375,1.06170773506e-07,-1.30385160446e-07,-1.07102096081e-08,0.0,2313,4
5,316800.0,309888.0,-0.000171976163983,-1.36424205266e-12,0.0,5153.61151695,0.00582638359629,0.971453334051,-2.88741635879,-7.44888170439e-09,-3.08594674477,1.24302246963,3.8623037376e-09,2.96440919383e-10,-4.17791306973e-06,1.18538737297e-05,157.46875,-81.21875,6.70552253723e-08,5.58793544769e-09,-1.07102096081e-08,0.0,2313,4
5,324000.0,316818.0,-0.00017198594287,-1.36424205266e-12,0.0,5153.61423874,0.00582524319179,0.971455431875,-2.88746992646,-7.46245369829e-09,-2.0355755503,1.24286456957,3.81373028575e-09,2.83226083218e-10,-4.52250242233e-06,1.22170895338e-05,149.21875,-88.1875,9.87201929092e-08,1.86264514923e-08,-1.07102096081e-08,0.0,2313,4
5,331184.0,326268.0,-0.000171995256096,-1.36424205266e-12,0.0,5153.61202812,0.00582509709057,0.971456393012,-2.88752388181,-7.66817655319e-09,-0.9878950484,1.24306344304,3.98695178683e-09,2.45367363393e-10,-4.38094139099e-06,1.25281512737e-05,141.375,-84.65625,-7.07805156708e-08,1.49011611938e-07,-1.07102096081e-08,0.0,2313,4
